0	Fields group	Management of the resource											Metadata of the text (description of item)																																														Identifier(s) of related resources			Link(s) to repository of visual documentation			0
0													Text identity						Related entities			Text typology				Language(s) and script(s)												Physical form							Date of the text					Filiation							Rights								0
0	Fields	Identifier of the resource	Origin of the metadata	DHARMA import	Editor of the metadata	Date of the edition	Contributor of the metadata	Reviewer	Date of review	Project	Corpus	Distribution rights of the metadata	Identifier of the text	Designation	Alternative identifier	Alternative designation	Alternative designation	Location on the artefact/conglomerate artefact/monument	ID of the artefact(s)	ID of the conglomerate artefact	ID of the monument	Text type 1	Text type 2	Text type 3	Text type 4	Language 1	Script classification 1	Script maturity 1	Language 2	Script classification 2	Script maturity 2	Language 3	Script classification 3	Script maturity 3	Language 4	Script classification 4	Script maturity 4	Lettering technique	Lines (observed)	Lines (estimated)	Lines per zone(s)	Dimensions of text zone(s)	Height of glyph	Width of glyph	Date CE	Date range CE	Date certainty	Date precision	Date evidence	Other instances	Type of filiation	Reissue date	Bibliographic references (primary)	Bibliographic references (secondary)	Keyword(s)	Remarks	Project responsible for publication	Distribution rights of the text edition	Identifier of the surrogate	Identifier of the digital image	Identifier of the 3D model	Link to external repository of surrogates	Link to external repository of digital images of inscriptions	Link to external repository of 3D models	0
0	Description of the fields	Digital identifier of the inscription as text. Syntax: INS<corpus>00001	Origin of the metadata: database or publication	Date of conversion of previously available metadata to the DHARMA model	Person(s) who supplied metadata (use the DHARMA members' Ids and separate them by $, if more than one editor)	Start date of metadata input/editing for DHARMA (YYYY-MM-DD)	Person(s) who entered/edited metadata (use the DHARMA members' Ids and separate them by $, if more than one editor)	Validating person (use the DHARMA members' Ids and separate them by $, if more than one editor)	Date of metadata validation (YYYY-MM-DD)	Project responsible for making these metadata available	Corpus to which the inscription pertains	Licence applicable to metadata	Identifier of the text. Syntax: INS<corpus>00001	Designation of the text [= title in xml edition]	Alternative identifier(s)	Alternative designation(s)	Alternative designation(s)	Location on the artefact/conglomerate artefact/monument (free text)	ID of the artefact bearing the text. If there is more than one artefact bearing the text, use $ as separator.	ID of the conglomerate artefact bearing the text	ID of the monument bearing the text	Text type (ideally only 1, choose misc. if you need to record more than 1)	Text type 2 (use only if more than 1 is necessary – Text type 1 must then have value misc.)	Text type 3 (use only if more than 1 is necessary – Text type 1 must then have value misc.)	Text type 4 (use only if more than 1 is necessary – Text type 1 must then have value misc.)	Language of the text	Script of the text	Maturity of script (if the script classification is Brahmi and derivatives only)	Language of the text	Script of the text	Maturity of script (if the script classification is Brahmi and derivatives only)	Language of the text	Script of the text	Maturity of script (if the script classification is Brahmi and derivatives only)	Language of the text	Script of the text	Maturity of script (if the script classification is Brahmi and derivatives only)	Writing technique (engraved, relief, painted, etc.)	Number of lines of this text preserved/observed on the artefact(s)	Known or estimated total number of lines in this text	Number of lines observed per zone – if multiple zones, use $ as separator and letter prefix plus colon for each zone (format A:10$B:12)	Height x Width of the inscribed zone or zones (cm) – if multiple zones, use $ as separator and letter prefix plus colon before h and w values 	Height of an average aksara (cm)	Width of an average aksara (cm)	YYYY-MM-DD or YYYY-MM or YYYY	YYYY-YYYY	degree of certainty of the text's dating	degree of precision of the text's dating	evidence that indicates the date of the text	ID of other instances of the corresponding text	Status of the given instance in relation with others (original, duplicate, reissue, undetermined)	In case of reissue, CE date of reissue (YYYY or YYYY-YYYY)	Bibliographical references. Use $ to separate the references	Bibliographical references. Use $ to separate the references	Terms to characterize the inscription. The choice of keywords is free, use $ to separate terms	Remarks on text-related metadata (free text)	Project responsible for making this text edition available	Licence applicable to the text edition	Identifier(s) of the related surrogate(s). Use $ to separate the identifiers.	Identifier(s) of the related digital image(s). Use $ to separate the identifiers.	Identifier(s) of the related 3D model(s). Use $ to separate the identifiers.	Link(s) to related digital images of surrogates stored on external repository	Link(s) to related digital images of inscriptions stored on external repository	Link(s) to related 3D models stored on external repository	0
1		INSVengiCalukya00001	Fleet1890_03		daba	2024-07-05				DHARMA	VengiCalukya	CC0	INSVengiCalukya00001	Sātārā plates of Viṣṇuvardhana I				Plates (A), Seal (B)		CONARTVengiCalukya000001		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	35		A:35$B:1	7.8×17.6	0.5			617-626			reign				Shastree1844_01$Fleet1890_03			Line spacing 0.8 cm.	DHARMA	CC-BY-SA							1
2		INSVengiCalukya00002	Fleet1891_01		daba	2023-12-06				DHARMA	VengiCalukya	CC0	INSVengiCalukya00002	Cīpurupalle plates of Viṣṇuvardhana I						CONARTVengiCalukya000002		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	20			5×17.8	0.5			640-642			internal_date				Burnell1878_01:137-138$ Fleet1891_01			Line spacing 0.9 cm.	DHARMA	CC-BY-SA							2
3		INSVengiCalukya00003	Hultzsch1907-1908_07		daba	2023-12-04				DHARMA	VengiCalukya	CC0	INSVengiCalukya00003	Timmapuram plates of Viṣṇuvardhana I				Plates (A), Seal (B)		CONARTVengiCalukya000003		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	14		A:14$B:1	6.9×22.2	0.65			624-641			reign				Hultzsch1907-1908_07			Line spacing 1.1 cm.	DHARMA	CC-BY-SA							3
4		INSVengiCalukya00004	Fleet1884_01		daba	2023-12-06				DHARMA	VengiCalukya	CC0	INSVengiCalukya00004	Peṇukapaṟu grant of Jayasiṁha I		Pedda-Maddāli plates of Jayasiṁha I		Plates (A), Seal (B)		CONARTVengiCalukya000004		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	29		A:29$B:2	8×17.3	0.6			658-660			internal_date				Fleet1884_01			Line spacing 10 cm.	DHARMA	CC-BY-SA							4
5		INSVengiCalukya00005	SomasekharaSarma1955-1956_01		daba	2023-12-06				DHARMA	VengiCalukya	CC0	INSVengiCalukya00005	Guḍivāḍa plates (set 1) of Jayasiṁha I		Ādivāsa grant of Jayasiṁha I		Plates (A), Seal (B)		CONARTVengiCalukya000005		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	24		A:24$B:1	6.4×16.6	0.6			658-660			internal_date				SomasekharaSarma1955-1956_01 (item A)			Line spacing 1.1 cm.	DHARMA	CC-BY-SA							5
6		INSVengiCalukya00006	SomasekharaSarma1955-1956_01		daba	2023-12-06				DHARMA	VengiCalukya	CC0	INSVengiCalukya00006	Guḍivāḍa plates (set 2) of Jayasiṁha I				Plates (A), Seal (B)		CONARTVengiCalukya000006		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	25		A:25$B:1	5.5×19.9	0.5			641-673			reign				SomasekharaSarma1955-1956_01 (item B)			Line spacing 0.9 cm.	DHARMA	CC-BY-SA							6
7		INSVengiCalukya00007	SomasekharaSarma1955-1956_01		daba	2023-12-07				DHARMA	VengiCalukya	CC0	INSVengiCalukya00007	Guḍivāḍa plates (set 3) of Jayasiṁha I						CONARTVengiCalukya000007		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	24			5.8×17.5	0.5			641-673	low		reign				SomasekharaSarma1955-1956_01 (item C)			Line spacing 0.9 cm.	DHARMA	CC-BY-SA							7
8		INSVengiCalukya00008	Hultzsch1925-1926_03		daba	2023-12-08				DHARMA	VengiCalukya	CC0	INSVengiCalukya00008	Niḍupaṟu grant of Jayasiṁha I				Plates (A), Seal (B)		CONARTVengiCalukya000008		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	24		A:24$B:1	4.9×17.6	0.45			641-673			reign				Hultzsch1925-1926_02$SomasekharaSarma1925_01			Line spacing 0.8 cm.	DHARMA	CC-BY-SA							8
9		INSVengiCalukya00009	Rangacharya1927-1928_02		daba	2023-12-15				DHARMA	VengiCalukya	CC0	INSVengiCalukya00009	Pedda-Vegi plates of Jayasiṁha I				Plates (A), Seal (B)		CONARTVengiCalukya000009		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	26		A:26$B:1	6.8×18.7	0.5			641-673			reign				Rangacharya1927-1928_02			Line spacing 1 cm.	DHARMA	CC-BY-SA							9
10		INSVengiCalukya00010	SubbaRao1929-1930_01		daba	2023-12-15				DHARMA	VengiCalukya	CC0	INSVengiCalukya00010	Puloṁbūra grant of Jayasiṁha I		Pulibumra Plates of Jayasiṁha I$Pulimburu Plates of Jayasiṁha I$Polamuru Grant of Jayasiṁha I$Polamuru Plates (set II)				CONARTVengiCalukya000010		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	24			4.8×14	0.4			646-656			internal_date				Rangacharya1927-1928_03$ SubbaRao1929-1930_01$ Sircar1939_01$ Sankaranarayanan1977_01			Line spacing 0.7 cm.	DHARMA	CC-BY-SA							10
11		INSVengiCalukya00011	Fleet1878_01		daba	2024-01-12				DHARMA	VengiCalukya	CC0	INSVengiCalukya00011	Paḷḷivāḍa grant of Viṣṇuvardhana II				Plates (A), Seal (B)		CONARTVengiCalukya000011		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	22	32	A:22$B:1	5.4×16	0.45			676-678			internal_date				Fleet1878_01			Line spacing 0.9 cm.	DHARMA	CC-BY-SA							11
12		INSVengiCalukya00012	Fleet1878_02		daba	2024-01-12				DHARMA	VengiCalukya	CC0	INSVengiCalukya00012	Reyūru grant of Viṣṇuvardhana II				Plates (A), Seal (B)		CONARTVengiCalukya000012		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	68		A:68$B:1	5.3×19.5	0.4			673-675			internal_date				Fleet1878_02			Line spacing 0.8 cm.	DHARMA	CC-BY-SA							12
13		INSVengiCalukya00013	Narasimhaswami1955-1956_01		daba	2024-01-17				DHARMA	VengiCalukya	CC0	INSVengiCalukya00013	Koṇeki grant of Viṣṇuvardhana II				Plates (A), Seal (B)		CONARTVengiCalukya000013		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	46		A:46$B:1	4.9×20.5	0.5			669-671			internal_date				Narasimhaswami1955-1956_01			Line spacing 0.9 cm.	DHARMA	CC-BY-SA							13
14		INSVengiCalukya00014	Fleet1891_03		daba	2024-01-17				DHARMA	VengiCalukya	CC0	INSVengiCalukya00014	Nutulapaṟu grant of Maṅgi Yuvarāja				Plates (A), Seal (B)		CONARTVengiCalukya000014		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	28		A:28$B:1					700-702			internal_date				Fleet1891_03				DHARMA	CC-BY-SA							14
15		INSVengiCalukya00015	Hultzsch1925-1926_05		daba	2024-02-21				DHARMA	VengiCalukya	CC0	INSVengiCalukya00015	Peṇukapaṟu grant of Jayasiṁha II				Plates (A), Seal (B)		CONARTVengiCalukya000015		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	31		A:31$B:1	6.1×17.9	0.4			706-718			reign				Hultzsch1925-1926_05$ Krishnamacharlu1924_01			Line spacing 0.7 cm.	DHARMA	CC-BY-SA							15
16		INSVengiCalukya00016	daba autopsy and Hultzsch1925-1926_03		daba	2024-02-21				DHARMA	VengiCalukya	CC0	INSVengiCalukya00016	Jaḷayūru grant of Viṣṇuvardhana III		Ipur Plates of Viṣṇuvardhana III		Plates (A), Seal (B)		CONARTVengiCalukya000016		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	25		A:25$B:1	5.6×16.3	0.5			740-742			internal_date				Hultzsch1925-1926_03			Line spacing 0.7 cm.	DHARMA	CC-BY-SA							16
17		INSVengiCalukya00017	Gai1965-1966_01		daba	2024-02-29				DHARMA	VengiCalukya	CC0	INSVengiCalukya00017	Tenali plates of Vijayāditya I				Plates (A), Seal (B)		CONARTVengiCalukya000017		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	28		A:28$B:1	6.6×17.2	0.5			755-772			reign				Gai1965-1966_01 (item A)			Line spacing 0.9 cm.	DHARMA	CC-BY-SA							17
18		INSVengiCalukya00018	Gai1965-1966_01		daba	2024-02-29				DHARMA	VengiCalukya	CC0	INSVengiCalukya00018	Zulakallu plates of Vijayāditya I		Alluvālu grant of Vijayāditya I				CONARTVengiCalukya000018		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script	Telugu	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script							engraved	26			6.5×19.5	0.45			755-772			reign				Gai1965-1966_01 (item B)$ Venkataramanayya1974_01			Line spacing 0.9 cm.	DHARMA	CC-BY-SA							18
19		INSVengiCalukya00019	Fleet1884_02		daba	2024-03-12				DHARMA	VengiCalukya	CC0	INSVengiCalukya00019	Pr̥thivipallavapaṭṭana grant of Viṣṇuvardhana IV		Ahadanakaram plates of Viṣṇuvardhana V				CONARTVengiCalukya000019		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script	Telugu	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script							engraved	34			7×21.6	0.55			772-808			reign				Fleet1884_02			Line spacing 1.1 cm.	DHARMA	CC-BY-SA							19
20		INSVengiCalukya00020	Kielhorn1898-1899_01		daba	2024-03-01				DHARMA	VengiCalukya	CC0	INSVengiCalukya00020	Eḍeru plates of Vijayāditya I		Minamini grant of Vijayāditya I or II$Eḍeru plates of Vijayāditya II		Plates (A), Seal (B)		CONARTVengiCalukya000020		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	28		A:28$B:1	7.1×17.4	0.5			755-772			reign				NatesaSastri1884_01 (item 2)$ Kielhorn1898-1899_01 (item A)			Line spacing 0.9 cm.	DHARMA	CC-BY-SA							20
21		INSVengiCalukya00021	Fleet1891_04		daba	2024-07-08				DHARMA	VengiCalukya	CC0	INSVengiCalukya00021	Koṟṟapaṟṟu grant of Vijayāditya II		British Museum plates of Vijayāditya II		Plates (A), Seal (B)		CONARTVengiCalukya000021		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	52		A:52$B:1	7.2×22	0.5			808-847			reign				Hultzsch1890_01 (item 35)$ Fleet1891_04			Line spacing 1 cm.	DHARMA	CC-BY-SA							21
22		INSVengiCalukya00022	ASI estampage cover sheet		daba	2024-03-20				DHARMA	VengiCalukya	CC0	INSVengiCalukya00022	Cheruvu Madhavaram plates of Viṣṇuvardhana V						CONARTVengiCalukya000022		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	28			8.5×21.8	0.45			847-849			reign				Narasimhaswami1967-1968_01			Line spacing 1.2 cm.	DHARMA	CC-BY-SA							22
23		INSVengiCalukya00023	Kielhorn1898-1899_01		daba	2024-01-31				DHARMA	VengiCalukya	CC0	INSVengiCalukya00023	Masulipatam plates of Vijayāditya III		Ṭraṇḍapa̱ru grant of Vijayāditya III		Plates (A), Seal (B)		CONARTVengiCalukya000023		donative-secular_donation				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	40		A:40$B:1	8.5×22.5	0.5			849-892			reign				Kielhorn1898-1899_01 (item B)			Line spacing 1.5 cm.	DHARMA	CC-BY-SA							23
24		INSVengiCalukya00024	Kielhorn1898-1899_01		daba	2024-12-13				DHARMA	VengiCalukya	CC0	INSVengiCalukya00024	Bezvāḍa plates of Bhīma I				Plates (A), Seal (B)		CONARTVengiCalukya000024		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	47		A:47$B:1	7.1×16.8	0.45			892-893			reign				Kielhorn1898-1899_01 (item C)			Line spacing 0.9 cm.	DHARMA	CC-BY-SA							24
25		INSVengiCalukya00025	Sankaranarayanan1973_01 and Venkataramanayya1974_04		daba	2024-12-13				DHARMA	VengiCalukya	CC0	INSVengiCalukya00025	Kākamrāṇu grant of Bhīma I		Kākumrānu grant of Bhīma I		Plates (A), Seal (B)		CONARTVengiCalukya000025		donative-religious_land_grant				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	91		A:91$B:1	12.6×25.3	0.45			892-921			reign				Sankaranarayanan1973_01 (item 1)$ Venkataramanayya1974_04			Line spacing 1.1 cm.	DHARMA	CC-BY-SA							25
26		INSVengiCalukya00026	Sankaranarayanan1973_01 and Venkataramanayya1974_05		daba	2024-12-13				DHARMA	VengiCalukya	CC0	INSVengiCalukya00026	Moga grant of Bhīma I				Plates (A), Seal (B)		CONARTVengiCalukya000026		donative-secular_donation				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script	Telugu	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script							engraved	56		A:56$B:1	6.2×15	0.45			892-921			reign				Sankaranarayanan1973_01 (item 2)$ Venkataramanayya1974_05			Line spacing 0.8 cm.	DHARMA	CC-BY-SA							26
27		INSVengiCalukya00027	Chhabra1947-1948_02		daba	2025-03-25				DHARMA	VengiCalukya	CC0	INSVengiCalukya00027	Cevuru plates of Amma I				Plates (A), Seal (B)		CONARTVengiCalukya000027		donative-secular_donation				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script	Telugu	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script							engraved	36		A:36$B:1	9.3×20	0.5			921-927			reign				Chhabra1947-1948_02			Line spacing 1 cm.	DHARMA	CC-BY-SA							27
28		INSVengiCalukya00028	Hultzsch1890_01 and daba autopsy		daba	2025-03-26				DHARMA	VengiCalukya	CC0	INSVengiCalukya00028	Eḍeru plates of Amma I				Plates (A), Seal (B)		CONARTVengiCalukya000028		donative-secular_donation				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	63		A:63$B:1	10×22	0.4			921-922			reign				NatesaSastri1884_01 (item 1)$ Hultzsch1890_01 (item 36)			Line spacing 1 cm.	DHARMA	CC-BY-SA							28
29		INSVengiCalukya00029	Kielhorn1898-1899_01		daba	2025-03-28				DHARMA	VengiCalukya	CC0	INSVengiCalukya00029	Drujjūru grant of Amma I		Masulipatam plates of Amma I		Plates (A), Seal (B)		CONARTVengiCalukya000029		donative-secular_donation				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	36		A:36$B:1	10.9×20.8	0.45			921-927			reign				Sewell1879_01 (item 2)$ Kielhorn1898-1899_01 (item D)			Line spacing 1.2 cm.	DHARMA	CC-BY-SA							29
30		INSVengiCalukya00030	LakshmanaRao1927-1928_02		daba	2025-04-09				DHARMA	VengiCalukya	CC0	INSVengiCalukya00030	Āruṁbāka grant of Bādapa				Plates (A), Seal (B)		CONARTVengiCalukya000030		donative-secular_donation				Sanskrit	brahmi_and_derivatives-southern_class_brahmi	regional_Brahmi--derived_script										engraved	68		A:68$B:2	10×24.1	0.45			944-946	low		reign				LakshmanaRao1927-1928_02 (item 1)$said to be also published in "Andhra Patrika Ugādi Sanchika", April 1921, by K. V. Lakshmana Rao - probably a preliminary to the proper publication			Line spacing 0.9 cm.	DHARMA	CC-BY-SA							30
